Time difference of 2.621014 hours
reaction #69; stage LB; binary index 8; optim.step 1; tracer 13CLinoKinC
reaction #55; stage LB; binary index 7; optim.step 1; tracer 13CLinoKinE
reaction #64; stage LB; binary index 8; optim.step 2; tracer 13CLac
reaction #9; stage LB; binary index 7; optim.step 4; tracer 13CLinoKinH
reaction #73; stage LB; binary index 8; optim.step 1; tracer 13CLinoKinJ
reaction #6; stage LB; binary index 7; optim.step 4; tracer 13CGlc
reaction #27; stage LB; binary index 8; optim.step 1; tracer 13CLinoKinA
reaction #21; stage LB; binary index 7; optim.step 3; tracer 13CLinoKinI
reaction #13; stage LB; binary index 7; optim.step 1; tracer 13CGlycerol
reaction #69; stage LB; binary index 8; optim.step 1; tracer 13CLinoKinD
reaction #55; stage LB; binary index 7; optim.step 1; tracer 13CLinoKinF
reaction #9; stage LB; binary index 7; optim.step 4; tracer 13CLinoKinI
reaction #64; stage LB; binary index 8; optim.step 2; tracer 13CGlycerol
reaction #73; stage LB; binary index 8; optim.step 2; tracer 13CGlc
reaction #27; stage LB; binary index 8; optim.step 1; tracer 13CLinoKinB
reaction #21; stage LB; binary index 7; optim.step 3; tracer 13CLinoKinJ
reaction #69; stage LB; binary index 8; optim.step 1; tracer 13CLinoKinE
reaction #6; stage LB; binary index 7; optim.step 4; tracer 13CLac
reaction #13; stage LB; binary index 7; optim.step 1; tracer 13CAla
reaction #55; stage LB; binary index 7; optim.step 1; tracer 13CLinoKinG
reaction #9; stage LB; binary index 7; optim.step 4; tracer 13CLinoKinJ
reaction #64; stage LB; binary index 8; optim.step 2; tracer 13CAla
reaction #73; stage LB; binary index 8; optim.step 2; tracer 13CLac
reaction #27; stage LB; binary index 8; optim.step 1; tracer 13CLinoKinC
reaction #21; stage LB; binary index 7; optim.step 4; tracer 13CGlc
reaction #69; stage LB; binary index 8; optim.step 1; tracer 13CLinoKinF
reaction #55; stage LB; binary index 7; optim.step 1; tracer 13CLinoKinH
reaction #13; stage LB; binary index 7; optim.step 1; tracer 13CGln
reaction #6; stage LB; binary index 7; optim.step 4; tracer 13CGlycerol
reaction #9; stage LB; binary index 7; optim.step 5; tracer 13CGlc
reaction #64; stage LB; binary index 8; optim.step 2; tracer 13CGln
reaction #27; stage LB; binary index 8; optim.step 1; tracer 13CLinoKinD
reaction #73; stage LB; binary index 8; optim.step 2; tracer 13CGlycerol
reaction #69; stage LB; binary index 8; optim.step 1; tracer 13CLinoKinG
reaction #55; stage LB; binary index 7; optim.step 1; tracer 13CLinoKinI
reaction #21; stage LB; binary index 7; optim.step 4; tracer 13CLac
reaction #13; stage LB; binary index 7; optim.step 1; tracer 13CHB
reaction #6; stage LB; binary index 7; optim.step 4; tracer 13CAla
reaction #9; stage LB; binary index 7; optim.step 5; tracer 13CLac
reaction #64; stage LB; binary index 8; optim.step 2; tracer 13CHB
reaction #27; stage LB; binary index 8; optim.step 1; tracer 13CLinoKinE
reaction #73; stage LB; binary index 8; optim.step 2; tracer 13CAla
reaction #69; stage LB; binary index 8; optim.step 1; tracer 13CLinoKinH
reaction #55; stage LB; binary index 7; optim.step 1; tracer 13CLinoKinJ
reaction #13; stage LB; binary index 7; optim.step 1; tracer 13CLinoKinA
reaction #6; stage LB; binary index 7; optim.step 4; tracer 13CGln
reaction #21; stage LB; binary index 7; optim.step 4; tracer 13CGlycerol
reaction #9; stage LB; binary index 7; optim.step 5; tracer 13CGlycerol
reaction #64; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinA
reaction #27; stage LB; binary index 8; optim.step 1; tracer 13CLinoKinF
reaction #69; stage LB; binary index 8; optim.step 1; tracer 13CLinoKinI
reaction #73; stage LB; binary index 8; optim.step 2; tracer 13CGln
reaction #55; stage LB; binary index 7; optim.step 2; tracer 13CGlc
reaction #13; stage LB; binary index 7; optim.step 1; tracer 13CLinoKinB
reaction #21; stage LB; binary index 7; optim.step 4; tracer 13CAla
reaction #6; stage LB; binary index 7; optim.step 4; tracer 13CHB
reaction #9; stage LB; binary index 7; optim.step 5; tracer 13CAla
reaction #64; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinB
reaction #27; stage LB; binary index 8; optim.step 1; tracer 13CLinoKinG
reaction #69; stage LB; binary index 8; optim.step 1; tracer 13CLinoKinJ
reaction #73; stage LB; binary index 8; optim.step 2; tracer 13CHB
reaction #55; stage LB; binary index 7; optim.step 2; tracer 13CLac
reaction #13; stage LB; binary index 7; optim.step 1; tracer 13CLinoKinC
reaction #21; stage LB; binary index 7; optim.step 4; tracer 13CGln
reaction #6; stage LB; binary index 7; optim.step 4; tracer 13CLinoKinA
reaction #9; stage LB; binary index 7; optim.step 5; tracer 13CGln
reaction #64; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinC
reaction #27; stage LB; binary index 8; optim.step 1; tracer 13CLinoKinH
reaction #69; stage LB; binary index 8; optim.step 2; tracer 13CGlc
reaction #73; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinA
reaction #13; stage LB; binary index 7; optim.step 1; tracer 13CLinoKinD
reaction #55; stage LB; binary index 7; optim.step 2; tracer 13CGlycerol
reaction #6; stage LB; binary index 7; optim.step 4; tracer 13CLinoKinB
reaction #21; stage LB; binary index 7; optim.step 4; tracer 13CHB
reaction #64; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinD
reaction #27; stage LB; binary index 8; optim.step 1; tracer 13CLinoKinI
reaction #9; stage LB; binary index 7; optim.step 5; tracer 13CHB
reaction #69; stage LB; binary index 8; optim.step 2; tracer 13CLac
reaction #73; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinB
reaction #13; stage LB; binary index 7; optim.step 1; tracer 13CLinoKinE
reaction #55; stage LB; binary index 7; optim.step 2; tracer 13CAla
reaction #6; stage LB; binary index 7; optim.step 4; tracer 13CLinoKinC
reaction #21; stage LB; binary index 7; optim.step 4; tracer 13CLinoKinA
reaction #64; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinE
reaction #27; stage LB; binary index 8; optim.step 1; tracer 13CLinoKinJ
reaction #9; stage LB; binary index 7; optim.step 5; tracer 13CLinoKinA
reaction #73; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinC
reaction #13; stage LB; binary index 7; optim.step 1; tracer 13CLinoKinF
reaction #69; stage LB; binary index 8; optim.step 2; tracer 13CGlycerol
reaction #6; stage LB; binary index 7; optim.step 4; tracer 13CLinoKinD
reaction #55; stage LB; binary index 7; optim.step 2; tracer 13CGln
reaction #21; stage LB; binary index 7; optim.step 4; tracer 13CLinoKinB
reaction #64; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinF
reaction #27; stage LB; binary index 8; optim.step 2; tracer 13CGlc
reaction #9; stage LB; binary index 7; optim.step 5; tracer 13CLinoKinB
reaction #73; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinD
reaction #13; stage LB; binary index 7; optim.step 1; tracer 13CLinoKinG
reaction #69; stage LB; binary index 8; optim.step 2; tracer 13CAla
reaction #6; stage LB; binary index 7; optim.step 4; tracer 13CLinoKinE
reaction #21; stage LB; binary index 7; optim.step 4; tracer 13CLinoKinC
reaction #55; stage LB; binary index 7; optim.step 2; tracer 13CHB
reaction #64; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinG
reaction #9; stage LB; binary index 7; optim.step 5; tracer 13CLinoKinC
reaction #27; stage LB; binary index 8; optim.step 2; tracer 13CLac
reaction #73; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinE
reaction #13; stage LB; binary index 7; optim.step 1; tracer 13CLinoKinH
reaction #69; stage LB; binary index 8; optim.step 2; tracer 13CGln
reaction #6; stage LB; binary index 7; optim.step 4; tracer 13CLinoKinF
reaction #21; stage LB; binary index 7; optim.step 4; tracer 13CLinoKinD
reaction #55; stage LB; binary index 7; optim.step 2; tracer 13CLinoKinA
reaction #64; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinH
reaction #9; stage LB; binary index 7; optim.step 5; tracer 13CLinoKinD
reaction #73; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinF
reaction #27; stage LB; binary index 8; optim.step 2; tracer 13CGlycerol
reaction #13; stage LB; binary index 7; optim.step 1; tracer 13CLinoKinI
reaction #6; stage LB; binary index 7; optim.step 4; tracer 13CLinoKinG
reaction #21; stage LB; binary index 7; optim.step 4; tracer 13CLinoKinE
reaction #69; stage LB; binary index 8; optim.step 2; tracer 13CHB
reaction #64; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinI
reaction #55; stage LB; binary index 7; optim.step 2; tracer 13CLinoKinB
reaction #9; stage LB; binary index 7; optim.step 5; tracer 13CLinoKinE
reaction #73; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinG
reaction #13; stage LB; binary index 7; optim.step 1; tracer 13CLinoKinJ
reaction #27; stage LB; binary index 8; optim.step 2; tracer 13CAla
reaction #6; stage LB; binary index 7; optim.step 4; tracer 13CLinoKinH
reaction #21; stage LB; binary index 7; optim.step 4; tracer 13CLinoKinF
reaction #69; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinA
reaction #64; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinJ
reaction #55; stage LB; binary index 7; optim.step 2; tracer 13CLinoKinC
reaction #9; stage LB; binary index 7; optim.step 5; tracer 13CLinoKinF
reaction #73; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinH
reaction #13; stage LB; binary index 7; optim.step 2; tracer 13CGlc
reaction #27; stage LB; binary index 8; optim.step 2; tracer 13CGln
reaction #6; stage LB; binary index 7; optim.step 4; tracer 13CLinoKinI
reaction #21; stage LB; binary index 7; optim.step 4; tracer 13CLinoKinG
reaction #69; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinB
reaction #55; stage LB; binary index 7; optim.step 2; tracer 13CLinoKinD
reaction #64; stage LB; binary index 8; optim.step 3; tracer 13CGlc
reaction #9; stage LB; binary index 7; optim.step 5; tracer 13CLinoKinG
reaction #73; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinI
reaction #13; stage LB; binary index 7; optim.step 2; tracer 13CLac
reaction #27; stage LB; binary index 8; optim.step 2; tracer 13CHB
reaction #6; stage LB; binary index 7; optim.step 4; tracer 13CLinoKinJ
reaction #21; stage LB; binary index 7; optim.step 4; tracer 13CLinoKinH
reaction #69; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinC
reaction #55; stage LB; binary index 7; optim.step 2; tracer 13CLinoKinE
reaction #9; stage LB; binary index 7; optim.step 5; tracer 13CLinoKinH
reaction #64; stage LB; binary index 8; optim.step 3; tracer 13CLac
reaction #73; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinJ
reaction #6; stage LB; binary index 7; optim.step 5; tracer 13CGlc
reaction #27; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinA
reaction #21; stage LB; binary index 7; optim.step 4; tracer 13CLinoKinI
reaction #13; stage LB; binary index 7; optim.step 2; tracer 13CGlycerol
reaction #69; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinD
reaction #55; stage LB; binary index 7; optim.step 2; tracer 13CLinoKinF
reaction #9; stage LB; binary index 7; optim.step 5; tracer 13CLinoKinI
reaction #64; stage LB; binary index 8; optim.step 3; tracer 13CGlycerol
reaction #73; stage LB; binary index 8; optim.step 3; tracer 13CGlc
reaction #27; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinB
reaction #21; stage LB; binary index 7; optim.step 4; tracer 13CLinoKinJ
reaction #69; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinE
reaction #6; stage LB; binary index 7; optim.step 5; tracer 13CLac
reaction #13; stage LB; binary index 7; optim.step 2; tracer 13CAla
reaction #55; stage LB; binary index 7; optim.step 2; tracer 13CLinoKinG
reaction #9; stage LB; binary index 7; optim.step 5; tracer 13CLinoKinJ
reaction #64; stage LB; binary index 8; optim.step 3; tracer 13CAla
reaction #73; stage LB; binary index 8; optim.step 3; tracer 13CLac
reaction #27; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinC
reaction #21; stage LB; binary index 7; optim.step 5; tracer 13CGlc
reaction #69; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinF
reaction #13; stage LB; binary index 7; optim.step 2; tracer 13CGln
reaction #55; stage LB; binary index 7; optim.step 2; tracer 13CLinoKinH
reaction #6; stage LB; binary index 7; optim.step 5; tracer 13CGlycerol
# A tibble: 1 × 3
  flux.index flux.value  cost
       <dbl>      <dbl> <dbl>
1          9       426. 0.117
reaction #9; stage LB; binary index 8
h =  -50
reaction #9; stage LB; binary index 8; optim.step 1; tracer 13CGlc
reaction #64; stage LB; binary index 8; optim.step 3; tracer 13CGln
reaction #73; stage LB; binary index 8; optim.step 3; tracer 13CGlycerol
reaction #27; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinD
reaction #69; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinG
reaction #21; stage LB; binary index 7; optim.step 5; tracer 13CLac
reaction #55; stage LB; binary index 7; optim.step 2; tracer 13CLinoKinI
reaction #13; stage LB; binary index 7; optim.step 2; tracer 13CHB
reaction #6; stage LB; binary index 7; optim.step 5; tracer 13CAla
reaction #9; stage LB; binary index 8; optim.step 1; tracer 13CLac
reaction #64; stage LB; binary index 8; optim.step 3; tracer 13CHB
reaction #27; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinE
reaction #73; stage LB; binary index 8; optim.step 3; tracer 13CAla
reaction #69; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinH
reaction #55; stage LB; binary index 7; optim.step 2; tracer 13CLinoKinJ
reaction #21; stage LB; binary index 7; optim.step 5; tracer 13CGlycerol
reaction #13; stage LB; binary index 7; optim.step 2; tracer 13CLinoKinA
reaction #6; stage LB; binary index 7; optim.step 5; tracer 13CGln
reaction #9; stage LB; binary index 8; optim.step 1; tracer 13CGlycerol
reaction #64; stage LB; binary index 8; optim.step 3; tracer 13CLinoKinA
reaction #27; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinF
reaction #73; stage LB; binary index 8; optim.step 3; tracer 13CGln
reaction #69; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinI
reaction #55; stage LB; binary index 7; optim.step 3; tracer 13CGlc
reaction #13; stage LB; binary index 7; optim.step 2; tracer 13CLinoKinB
reaction #21; stage LB; binary index 7; optim.step 5; tracer 13CAla
reaction #6; stage LB; binary index 7; optim.step 5; tracer 13CHB
reaction #9; stage LB; binary index 8; optim.step 1; tracer 13CAla
reaction #64; stage LB; binary index 8; optim.step 3; tracer 13CLinoKinB
reaction #27; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinG
reaction #69; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinJ
reaction #73; stage LB; binary index 8; optim.step 3; tracer 13CHB
reaction #13; stage LB; binary index 7; optim.step 2; tracer 13CLinoKinC
reaction #55; stage LB; binary index 7; optim.step 3; tracer 13CLac
reaction #21; stage LB; binary index 7; optim.step 5; tracer 13CGln
reaction #6; stage LB; binary index 7; optim.step 5; tracer 13CLinoKinA
reaction #9; stage LB; binary index 8; optim.step 1; tracer 13CGln
reaction #64; stage LB; binary index 8; optim.step 3; tracer 13CLinoKinC
reaction #27; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinH
reaction #69; stage LB; binary index 8; optim.step 3; tracer 13CGlc
reaction #73; stage LB; binary index 8; optim.step 3; tracer 13CLinoKinA
reaction #13; stage LB; binary index 7; optim.step 2; tracer 13CLinoKinD
reaction #6; stage LB; binary index 7; optim.step 5; tracer 13CLinoKinB
reaction #55; stage LB; binary index 7; optim.step 3; tracer 13CGlycerol
reaction #21; stage LB; binary index 7; optim.step 5; tracer 13CHB
reaction #64; stage LB; binary index 8; optim.step 3; tracer 13CLinoKinD
reaction #9; stage LB; binary index 8; optim.step 1; tracer 13CHB
reaction #27; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinI
reaction #73; stage LB; binary index 8; optim.step 3; tracer 13CLinoKinB
reaction #69; stage LB; binary index 8; optim.step 3; tracer 13CLac
reaction #13; stage LB; binary index 7; optim.step 2; tracer 13CLinoKinE
reaction #6; stage LB; binary index 7; optim.step 5; tracer 13CLinoKinC
reaction #21; stage LB; binary index 7; optim.step 5; tracer 13CLinoKinA
reaction #55; stage LB; binary index 7; optim.step 3; tracer 13CAla
reaction #64; stage LB; binary index 8; optim.step 3; tracer 13CLinoKinE
reaction #9; stage LB; binary index 8; optim.step 1; tracer 13CLinoKinA
reaction #27; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinJ
reaction #73; stage LB; binary index 8; optim.step 3; tracer 13CLinoKinC
reaction #13; stage LB; binary index 7; optim.step 2; tracer 13CLinoKinF
reaction #69; stage LB; binary index 8; optim.step 3; tracer 13CGlycerol
reaction #6; stage LB; binary index 7; optim.step 5; tracer 13CLinoKinD
reaction #21; stage LB; binary index 7; optim.step 5; tracer 13CLinoKinB
reaction #55; stage LB; binary index 7; optim.step 3; tracer 13CGln
reaction #64; stage LB; binary index 8; optim.step 3; tracer 13CLinoKinF
reaction #9; stage LB; binary index 8; optim.step 1; tracer 13CLinoKinB
reaction #27; stage LB; binary index 8; optim.step 3; tracer 13CGlc
reaction #73; stage LB; binary index 8; optim.step 3; tracer 13CLinoKinD
reaction #13; stage LB; binary index 7; optim.step 2; tracer 13CLinoKinG
reaction #69; stage LB; binary index 8; optim.step 3; tracer 13CAla
reaction #6; stage LB; binary index 7; optim.step 5; tracer 13CLinoKinE
reaction #21; stage LB; binary index 7; optim.step 5; tracer 13CLinoKinC
reaction #55; stage LB; binary index 7; optim.step 3; tracer 13CHB
reaction #64; stage LB; binary index 8; optim.step 3; tracer 13CLinoKinG
reaction #9; stage LB; binary index 8; optim.step 1; tracer 13CLinoKinC
reaction #27; stage LB; binary index 8; optim.step 3; tracer 13CLac
reaction #73; stage LB; binary index 8; optim.step 3; tracer 13CLinoKinE
reaction #13; stage LB; binary index 7; optim.step 2; tracer 13CLinoKinH
reaction #69; stage LB; binary index 8; optim.step 3; tracer 13CGln
reaction #6; stage LB; binary index 7; optim.step 5; tracer 13CLinoKinF
reaction #21; stage LB; binary index 7; optim.step 5; tracer 13CLinoKinD
reaction #64; stage LB; binary index 8; optim.step 3; tracer 13CLinoKinH
reaction #9; stage LB; binary index 8; optim.step 1; tracer 13CLinoKinD
reaction #55; stage LB; binary index 7; optim.step 3; tracer 13CLinoKinA
reaction #73; stage LB; binary index 8; optim.step 3; tracer 13CLinoKinF
reaction #27; stage LB; binary index 8; optim.step 3; tracer 13CGlycerol
reaction #13; stage LB; binary index 7; optim.step 2; tracer 13CLinoKinI
reaction #6; stage LB; binary index 7; optim.step 5; tracer 13CLinoKinG
reaction #21; stage LB; binary index 7; optim.step 5; tracer 13CLinoKinE
reaction #69; stage LB; binary index 8; optim.step 3; tracer 13CHB
reaction #64; stage LB; binary index 8; optim.step 3; tracer 13CLinoKinI
reaction #55; stage LB; binary index 7; optim.step 3; tracer 13CLinoKinB
reaction #9; stage LB; binary index 8; optim.step 1; tracer 13CLinoKinE
reaction #73; stage LB; binary index 8; optim.step 3; tracer 13CLinoKinG
reaction #13; stage LB; binary index 7; optim.step 2; tracer 13CLinoKinJ
reaction #27; stage LB; binary index 8; optim.step 3; tracer 13CAla
reaction #6; stage LB; binary index 7; optim.step 5; tracer 13CLinoKinH
reaction #21; stage LB; binary index 7; optim.step 5; tracer 13CLinoKinF
reaction #69; stage LB; binary index 8; optim.step 3; tracer 13CLinoKinA
reaction #64; stage LB; binary index 8; optim.step 3; tracer 13CLinoKinJ
reaction #9; stage LB; binary index 8; optim.step 1; tracer 13CLinoKinF
reaction #55; stage LB; binary index 7; optim.step 3; tracer 13CLinoKinC
reaction #73; stage LB; binary index 8; optim.step 3; tracer 13CLinoKinH
reaction #13; stage LB; binary index 7; optim.step 3; tracer 13CGlc
reaction #27; stage LB; binary index 8; optim.step 3; tracer 13CGln
reaction #6; stage LB; binary index 7; optim.step 5; tracer 13CLinoKinI
reaction #21; stage LB; binary index 7; optim.step 5; tracer 13CLinoKinG
reaction #69; stage LB; binary index 8; optim.step 3; tracer 13CLinoKinB
reaction #64; stage LB; binary index 8; optim.step 4; tracer 13CGlc
reaction #9; stage LB; binary index 8; optim.step 1; tracer 13CLinoKinG
reaction #55; stage LB; binary index 7; optim.step 3; tracer 13CLinoKinD
reaction #73; stage LB; binary index 8; optim.step 3; tracer 13CLinoKinI
reaction #6; stage LB; binary index 7; optim.step 5; tracer 13CLinoKinJ
reaction #13; stage LB; binary index 7; optim.step 3; tracer 13CLac
reaction #27; stage LB; binary index 8; optim.step 3; tracer 13CHB
reaction #21; stage LB; binary index 7; optim.step 5; tracer 13CLinoKinH
reaction #69; stage LB; binary index 8; optim.step 3; tracer 13CLinoKinC
reaction #9; stage LB; binary index 8; optim.step 1; tracer 13CLinoKinH
reaction #55; stage LB; binary index 7; optim.step 3; tracer 13CLinoKinE
reaction #64; stage LB; binary index 8; optim.step 4; tracer 13CLac
reaction #73; stage LB; binary index 8; optim.step 3; tracer 13CLinoKinJ
# A tibble: 1 × 3
  flux.index flux.value  cost
       <dbl>      <dbl> <dbl>
1          6       147. 0.117
reaction #6; stage LB; binary index 8
h =  -73.51
reaction #6; stage LB; binary index 8; optim.step 1; tracer 13CGlc
reaction #21; stage LB; binary index 7; optim.step 5; tracer 13CLinoKinI
reaction #27; stage LB; binary index 8; optim.step 3; tracer 13CLinoKinA
reaction #13; stage LB; binary index 7; optim.step 3; tracer 13CGlycerol
reaction #69; stage LB; binary index 8; optim.step 3; tracer 13CLinoKinD
reaction #9; stage LB; binary index 8; optim.step 1; tracer 13CLinoKinI
reaction #55; stage LB; binary index 7; optim.step 3; tracer 13CLinoKinF
reaction #64; stage LB; binary index 8; optim.step 4; tracer 13CGlycerol
reaction #73; stage LB; binary index 8; optim.step 4; tracer 13CGlc
reaction #21; stage LB; binary index 7; optim.step 5; tracer 13CLinoKinJ
reaction #27; stage LB; binary index 8; optim.step 3; tracer 13CLinoKinB
reaction #69; stage LB; binary index 8; optim.step 3; tracer 13CLinoKinE
reaction #6; stage LB; binary index 8; optim.step 1; tracer 13CLac
reaction #13; stage LB; binary index 7; optim.step 3; tracer 13CAla
reaction #9; stage LB; binary index 8; optim.step 1; tracer 13CLinoKinJ
reaction #55; stage LB; binary index 7; optim.step 3; tracer 13CLinoKinG
reaction #64; stage LB; binary index 8; optim.step 4; tracer 13CAla
reaction #73; stage LB; binary index 8; optim.step 4; tracer 13CLac
# A tibble: 1 × 3
  flux.index flux.value  cost
       <dbl>      <dbl> <dbl>
1         21       718. 0.117
reaction #21; stage LB; binary index 8
h =  -385.09
reaction #21; stage LB; binary index 8; optim.step 1; tracer 13CGlc
reaction #27; stage LB; binary index 8; optim.step 3; tracer 13CLinoKinC
reaction #69; stage LB; binary index 8; optim.step 3; tracer 13CLinoKinF
reaction #13; stage LB; binary index 7; optim.step 3; tracer 13CGln
reaction #6; stage LB; binary index 8; optim.step 1; tracer 13CGlycerol
reaction #9; stage LB; binary index 8; optim.step 2; tracer 13CGlc
reaction #55; stage LB; binary index 7; optim.step 3; tracer 13CLinoKinH
reaction #64; stage LB; binary index 8; optim.step 4; tracer 13CGln
reaction #73; stage LB; binary index 8; optim.step 4; tracer 13CGlycerol
reaction #27; stage LB; binary index 8; optim.step 3; tracer 13CLinoKinD
reaction #69; stage LB; binary index 8; optim.step 3; tracer 13CLinoKinG
reaction #21; stage LB; binary index 8; optim.step 1; tracer 13CLac
reaction #13; stage LB; binary index 7; optim.step 3; tracer 13CHB
reaction #55; stage LB; binary index 7; optim.step 3; tracer 13CLinoKinI
reaction #6; stage LB; binary index 8; optim.step 1; tracer 13CAla
reaction #9; stage LB; binary index 8; optim.step 2; tracer 13CLac
reaction #64; stage LB; binary index 8; optim.step 4; tracer 13CHB
reaction #73; stage LB; binary index 8; optim.step 4; tracer 13CAla
reaction #27; stage LB; binary index 8; optim.step 3; tracer 13CLinoKinE
reaction #69; stage LB; binary index 8; optim.step 3; tracer 13CLinoKinH
reaction #21; stage LB; binary index 8; optim.step 1; tracer 13CGlycerol
reaction #55; stage LB; binary index 7; optim.step 3; tracer 13CLinoKinJ
reaction #13; stage LB; binary index 7; optim.step 3; tracer 13CLinoKinA
reaction #6; stage LB; binary index 8; optim.step 1; tracer 13CGln
reaction #9; stage LB; binary index 8; optim.step 2; tracer 13CGlycerol
reaction #64; stage LB; binary index 8; optim.step 4; tracer 13CLinoKinA
reaction #73; stage LB; binary index 8; optim.step 4; tracer 13CGln
reaction #27; stage LB; binary index 8; optim.step 3; tracer 13CLinoKinF
reaction #69; stage LB; binary index 8; optim.step 3; tracer 13CLinoKinI
reaction #55; stage LB; binary index 7; optim.step 4; tracer 13CGlc
reaction #13; stage LB; binary index 7; optim.step 3; tracer 13CLinoKinB
reaction #21; stage LB; binary index 8; optim.step 1; tracer 13CAla
reaction #6; stage LB; binary index 8; optim.step 1; tracer 13CHB
reaction #9; stage LB; binary index 8; optim.step 2; tracer 13CAla
reaction #64; stage LB; binary index 8; optim.step 4; tracer 13CLinoKinB
reaction #27; stage LB; binary index 8; optim.step 3; tracer 13CLinoKinG
reaction #69; stage LB; binary index 8; optim.step 3; tracer 13CLinoKinJ
reaction #73; stage LB; binary index 8; optim.step 4; tracer 13CHB
reaction #13; stage LB; binary index 7; optim.step 3; tracer 13CLinoKinC
reaction #21; stage LB; binary index 8; optim.step 1; tracer 13CGln
reaction #55; stage LB; binary index 7; optim.step 4; tracer 13CLac
reaction #6; stage LB; binary index 8; optim.step 1; tracer 13CLinoKinA
reaction #9; stage LB; binary index 8; optim.step 2; tracer 13CGln
reaction #64; stage LB; binary index 8; optim.step 4; tracer 13CLinoKinC
reaction #27; stage LB; binary index 8; optim.step 3; tracer 13CLinoKinH
reaction #69; stage LB; binary index 8; optim.step 4; tracer 13CGlc
reaction #73; stage LB; binary index 8; optim.step 4; tracer 13CLinoKinA
reaction #13; stage LB; binary index 7; optim.step 3; tracer 13CLinoKinD
reaction #21; stage LB; binary index 8; optim.step 1; tracer 13CHB
reaction #6; stage LB; binary index 8; optim.step 1; tracer 13CLinoKinB
reaction #55; stage LB; binary index 7; optim.step 4; tracer 13CGlycerol
reaction #9; stage LB; binary index 8; optim.step 2; tracer 13CHB
reaction #64; stage LB; binary index 8; optim.step 4; tracer 13CLinoKinD
reaction #27; stage LB; binary index 8; optim.step 3; tracer 13CLinoKinI
reaction #73; stage LB; binary index 8; optim.step 4; tracer 13CLinoKinB
reaction #69; stage LB; binary index 8; optim.step 4; tracer 13CLac
reaction #13; stage LB; binary index 7; optim.step 3; tracer 13CLinoKinE
reaction #6; stage LB; binary index 8; optim.step 1; tracer 13CLinoKinC
reaction #21; stage LB; binary index 8; optim.step 1; tracer 13CLinoKinA
reaction #55; stage LB; binary index 7; optim.step 4; tracer 13CAla
reaction #64; stage LB; binary index 8; optim.step 4; tracer 13CLinoKinE
reaction #9; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinA
reaction #27; stage LB; binary index 8; optim.step 3; tracer 13CLinoKinJ
reaction #73; stage LB; binary index 8; optim.step 4; tracer 13CLinoKinC
reaction #13; stage LB; binary index 7; optim.step 3; tracer 13CLinoKinF
reaction #69; stage LB; binary index 8; optim.step 4; tracer 13CGlycerol
reaction #6; stage LB; binary index 8; optim.step 1; tracer 13CLinoKinD
reaction #21; stage LB; binary index 8; optim.step 1; tracer 13CLinoKinB
reaction #55; stage LB; binary index 7; optim.step 4; tracer 13CGln
reaction #64; stage LB; binary index 8; optim.step 4; tracer 13CLinoKinF
reaction #9; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinB
reaction #27; stage LB; binary index 8; optim.step 4; tracer 13CGlc
reaction #73; stage LB; binary index 8; optim.step 4; tracer 13CLinoKinD
